Posted on: 2020-09-03; at: 16:03,DBT_LABS,"Our Director of Customer Success, Erin Vaughn, will be joining Emily Hawkins from Drizly to talk about why so many data teams love Looker + dbt.

Register for the event here: https://t.co/I7JoA6jKxv",2020-09-03 16:03:01+00:00
Posted on: 2020-09-01; at: 17:20,DBT_LABS,"Coalesce is baaaaaaaaack!

The first dbt community conference. 

We're excited to learn with you.

#dbtcoalesce

https://t.co/NOxzj36ijo https://t.co/XusLm1kXxG",2020-09-01 17:20:34+00:00
Posted on: 2023-01-10; at: 14:18,DEEPMIND,"We’re thrilled that DeepMind: The Podcast has won Best Host in Listener's Choice for @FryRSquared at the @SignalAwards! 🏆

Thank you to everyone who voted for us. 🤝 

We’ve also won silver in 3 categories, including Science &amp; Education and Technology. 🥈 https://t.co/DD2cu3iQNR https://t.co/wIIVetbPje",2023-01-10 14:18:03+00:00
Posted on: 2022-12-21; at: 13:50,DEEPMIND,"📢 Last chance to vote for DeepMind: The Podcast at the @SignalAwards!

We need your help to win Listener’s Choice in 3️⃣ categories:

🟢 Science &amp; Education
⚡ Technology
 🎙️ Best Host for @FryRsquared

Vote now: https://t.co/gRDGX7NGUk https://t.co/q74ZveAe3C",2022-12-21 13:50:15+00:00
Posted on: 2022-12-15; at: 12:16,DEEPMIND,"🎙️ Best Host

We partnered with the brilliant mathematician and broadcaster @FryRSquared to bring the DeepMind podcast to life.

Enjoyed the series too? Vote here: https://t.co/J9vecvUZuz #SignalAwards https://t.co/m5HIb78DQX",2022-12-15 12:16:11+00:00
Posted on: 2022-12-15; at: 12:16,DEEPMIND,"📢 Calling all fans of DeepMind: The Podcast! We’re thrilled to be finalists in the inaugural @SignalAwards…

And we need your help to win Listener’s Choice. 🏆

You can vote for us in 3️⃣ different categories. Here’s how. ⬇️ https://t.co/qbZu2aXdLq https://t.co/6hG7GCfxPC",2022-12-15 12:16:10+00:00
Posted on: 2022-12-08; at: 14:00,DEEPMIND,"Our team will present this work at @LogConference as a spotlight talk:
📅 9 December
⌚ 5.40pm GMT

Want to join us? Save your spot now: https://t.co/6rgyknMhmW",2022-12-08 14:00:18+00:00
Posted on: 2022-11-28; at: 15:30,DEEPMIND,"Throughout the conference, you’ll get to find out about:

✖️ #AlphaTensor discovering faster matrix multiplication algorithms
🔵 How #AlphaCode can write computer programs at a competitive level
📹 Self-supervised video learning using VITO

And more: https://t.co/zdllnNuQpp",2022-11-28 15:30:06+00:00
Posted on: 2022-11-28; at: 15:30,DEEPMIND,"Welcome to #NeurIPS2022, the world’s largest AI conference! 🌐

DeepMind will be presenting over 40 research papers, hosting ten demos and supporting workshops with partners.

👋 Come visit us and say hi!
📍Booth #609, Hall G https://t.co/1feb5t9uZu",2022-11-28 15:30:05+00:00
Posted on: 2022-06-16; at: 15:37,DRUIDIO,"The first local edition of Druid Summit is taking place in Sydney on June 23. Don't miss the opportunity to learn from data experts from @Atlassian, @Paytm &amp; @confluentinc in this half-day event dedicated to #ApacheDruid. Register today (it's free!): https://t.co/vnYVZmNlot",2022-06-16 15:37:52+00:00
Posted on: 2022-03-23; at: 15:50,DRUIDIO,Save the date! @petermarshallio will be delivering his first #ApacheDruid talk at the DevOps Experience Brazil event. It's happening virtually on 31 March at 10am BRT. Register here: https://t.co/jxQEMdDKNH,2022-03-23 15:50:24+00:00
Posted on: 2022-03-16; at: 23:46,DRUIDIO,"Developers, this is for you! Imply and @confluentinc are co-hosting this virtual event on 17 March. Don’t miss learning how you can use #ApacheDruid &amp; @apachekafka to build apps that bring together streaming data + interactive analytics. 
Register here: https://t.co/Wkgt0A2jO9",2022-03-16 23:46:51+00:00
Posted on: 2023-01-13; at: 17:00,ELASTIC,"Our biggest virtual user conference of the year is back...and free to attend!

Join us at #ElasticON Global on March 7-8 to access all new technical deep dives, live hands-on workshops, user stories and more. Register here: https://t.co/yiefrF7iMi https://t.co/xjcqyLmhhP",2023-01-13 17:00:06+00:00
Posted on: 2022-12-13; at: 21:20,ELASTIC,"Step 1: Once you’ve created a user log in, add custom info to click through events. See how: https://t.co/XfEh0QVKiO https://t.co/sY8nDrvaWL",2022-12-13 21:20:08+00:00
Posted on: 2022-11-08; at: 21:15,EXPECTGREATDATA,"Our next Community Event is Tues, Nov. 15 at 12pm EDT! Join us to hear community celebrations, a roadmap update, and a company use case for GX! https://t.co/OZeJYNCsdx",2022-11-08 21:15:34+00:00
Posted on: 2022-09-13; at: 22:40,EXPECTGREATDATA,"Our next Community Event is Tuesday, Sept 20th @ 12:00 pm (EDT), with one major presentation: our CTO @jpcampbell42 will be presenting a new Great Expectations feature, Data Assistants! Get the invite: https://t.co/skrc7q2nLy",2022-09-13 22:40:38+00:00
Posted on: 2022-08-16; at: 17:07,EXPECTGREATDATA,“Data flowing through in a way that’s unexpected is gonna break your app.” Listen to our co-founder and head of partnerships @bhcas talk with @jpruth about broken apps and #dataquality on the new @InformationWeek 2-Minute Toolkit Podcast 👉 https://t.co/FdhjDvQ6Zb,2022-08-16 17:07:06+00:00
Posted on: 2022-09-08; at: 20:28,GETDBT,"🎟️ @coalesceconf is offering Coalesce Hub Scholarships sponsored by @workstreamhq and @fivetran. 

🙋Everyone deserves the chance to attend conferences like #dbtCoalesce and pursue a career path in data.

✍️ Apply here by September 16 EOD.  https://t.co/pGEWkg582i",2022-09-08 20:28:57+00:00
Posted on: 2022-08-03; at: 15:07,GETDBT,"Got🎖dbt certification* on your summer to-do list?
📚Now available: a study guide with tips from the dbt Labs team. 

(*nope, not that other DBT certification)

Get the goods⬇️
https://t.co/NmtttD5TRF https://t.co/IpH7mbg9lR",2022-08-03 15:07:19+00:00
Posted on: 2023-01-21; at: 18:02,GITHUB,"Tune into The ReadME Podcast to hear from @sudobunni about livestreaming and chasing inspiration. Plus, decluttering for developers, open source mentors, and the 6-month effort to define GitOps. https://t.co/cXOLBjabc1 https://t.co/SW0dxcMMfV",2023-01-21 18:02:27+00:00
Posted on: 2023-01-20; at: 15:09,GITHUB,"Minimalism is an approach that helps developers not just focus on what matters, but also avoid the hidden traps of complexity. Find out more in our latest ReadME Podcast episode: https://t.co/9wyQF9Lccr https://t.co/YbQd64tZzi",2023-01-20 15:09:40+00:00
Posted on: 2023-01-13; at: 16:59,GITHUB,"Functional programming, the role of open source in game dev and much, much more—check out the last episode of The ReadME Podcast. 

Stay tuned for our next episode coming this Tuesday. 
https://t.co/L7WOT4YHyN",2023-01-13 16:59:33+00:00
Posted on: 2023-01-13; at: 00:48,GITHUB,New this week: Project events in your Issue and Pull Request timelines + Issue Form updates 👀 https://t.co/rcAcOapMJm https://t.co/gfCOW8szOi,2023-01-13 00:48:05+00:00
Posted on: 2023-01-22; at: 00:44,GOOGLECLOUD,"@harkal444 Hello Siddheshwar! Thanks for reaching out, we're sorry to hear you have not received your certification. Could you please DM us your email address, your ticket number and the date when it was completed? We'll gladly take a look. -SR https://t.co/0GGxaO38T2",2023-01-22 00:44:29+00:00
Posted on: 2023-01-21; at: 22:06,GOOGLECLOUD,@pavantiwari21 Thanks for the details. Can you please DM us the email address you used to sign up for the certification and the best contact information to reach out to you? We'll be glad to check this with our team. -VR,2023-01-21 22:06:18+00:00
